trials = 10, intial chaos = 0.8, agile

0,13101264097853;90;0,9;sinu
0,093908881429527;100;0,1;bernoulli
0,094895359156258;100;0,1;chebyshev
0,10319077575843;100;0,1;circle
1,1504391042285;100;0,1;gauss
0,09341585155426;100;0,1;logistic
0,081235609881496;100;0,1;sine
0,090243772460327;100;0,1;singer
0,089631598970242;100;0,1;sinu
0,099769224523908;100;0,2;bernoulli
0,10344341258273;100;0,2;chebyshev
0,090454014523659;100;0,2;circle
0,94593548816078;100;0,2;gauss
0,092428835030011;100;0,2;logistic
0,10027661670189;100;0,2;sine
0,10029949207294;100;0,2;singer
0,10967432927282;100;0,2;sinu
0,094887587016832;100;0,3;bernoulli
0,11532997792426;100;0,3;chebyshev
0,091441887132693;100;0,3;circle
1,0671049514203;100;0,3;gauss
0,11356024454188;100;0,3;logistic
0,099042975379401;100;0,3;sine
0,11151855425571;100;0,3;singer
0,10882846106136;100;0,3;sinu
0,090391855612146;100;0,4;bernoulli
0,11297056677342;100;0,4;chebyshev
0,099228974307882;100;0,4;circle
1,0386577897473;100;0,4;gauss
0,10660026419772;100;0,4;logistic
0,1082480912889;100;0,4;sine
0,11686254294518;100;0,4;singer
0,11177270575426;100;0,4;sinu
0,097549085668222;100;0,5;bernoulli
0,1151930521515;100;0,5;chebyshev
0,10421362347572;100;0,5;circle
0,98227669952109;100;0,5;gauss
0,11519935777199;100;0,5;logistic
0,1179891560839;100;0,5;sine
0,12188854317265;100;0,5;singer
0,11741051079403;100;0,5;sinu
0,098879769784298;100;0,6;bernoulli
0,12305763679423;100;0,6;chebyshev
0,098394572394817;100;0,6;circle
1,1430967173507;100;0,6;gauss
0,12203391784978;100;0,6;logistic
0,12699460105674;100;0,6;sine
0,11338182064435;100;0,6;singer
0,12599731972443;100;0,6;sinu
0,10408413087524;100;0,7;bernoulli
0,11825182346375;100;0,7;chebyshev
0,09610654935369;100;0,7;circle
1,0242769401631;100;0,7;gauss
0,1184818288223;100;0,7;logistic
0,12030797519479;100;0,7;sine
0,12591487037784;100;0,7;singer
0,11356753067829;100;0,7;sinu
0,096303218940574;100;0,8;bernoulli
0,11531379695658;100;0,8;chebyshev
0,1060826948646;100;0,8;circle
1,0265903548183;100;0,8;gauss
0,11787736182777;100;0,8;logistic
0,13018905137919;100;0,8;sine
0,12504577741132;100;0,8;singer
0,12072626155221;100;0,8;sinu
0,10535032087809;100;0,9;bernoulli
0,11818016547515;100;0,9;chebyshev
0,096385054536914;100;0,9;circle
1,0159414647885;100;0,9;gauss
0,12642781763598;100;0,9;logistic
0,13145351366524;100;0,9;sine
0,12523600491646;100;0,9;singer
0,1249929039056;100;0,9;sinu

trials  = 10, initial chaos = random, agile
2.6139731693802,10,0.1,bernoulli
1.00684642638,10,0.1,chebyshev
1.1284381476196,10,0.1,circle
2.0475016183096,10,0.1,gauss
2.4598462056893,10,0.1,logistic
1.4405564121209,10,0.1,sine
2.2757338814785,10,0.1,singer
1.3895240249201,10,0.1,sinu
0.87913470428526,10,0.2,bernoulli
0.61543753809828,10,0.2,chebyshev
1.0525810363649,10,0.2,circle
0.97143694067509,10,0.2,gauss
0.8624963257547,10,0.2,logistic
0.80387611389993,10,0.2,sine
0.92185508914981,10,0.2,singer
0.86553597104793,10,0.2,sinu
1.7906804652572,10,0.3,bernoulli
0.44336534609951,10,0.3,chebyshev
0.92001421188381,10,0.3,circle
0.5742396277673,10,0.3,gauss
0.40217803460977,10,0.3,logistic
0.77540323812892,10,0.3,sine
0.78436019585005,10,0.3,singer
0.47069289878126,10,0.3,sinu
0.53927486991097,10,0.4,bernoulli
0.53629075167113,10,0.4,chebyshev
0.51748344120852,10,0.4,circle
0.6908732340588,10,0.4,gauss
0.53505824723216,10,0.4,logistic
0.87203698072125,10,0.4,sine
0.39408279916314,10,0.4,singer
0.34649684136322,10,0.4,sinu
0.39139544270826,10,0.5,bernoulli
0.32789720862477,10,0.5,chebyshev
0.60488668802493,10,0.5,circle
0.64144008369179,10,0.5,gauss
0.41822021784514,10,0.5,logistic
0.40062906767996,10,0.5,sine
0.26102997521319,10,0.5,singer
2.4350380634028,10,0.5,sinu
0.25833207596221,10,0.6,bernoulli
0.29596410069024,10,0.6,chebyshev
0.27773497967709,10,0.6,circle
0.51513544931124,10,0.6,gauss
0.35264256440229,10,0.6,logistic
0.38158461926798,10,0.6,sine
0.18042283231995,10,0.6,singer
